43, kocksgatan, Node, 59.314053275776686, 18.077938556671143
44, kocksgatan, Node, 59.31402863706006, 18.07776153087616
45, kocksgatan, Node, 59.31400399832556, 18.077557682991028
46, kocksgatan, Node, 59.31397388429251, 18.077305555343628
47, oskoblock, Node, 59.31389723026978, 18.076812028884888
48, kocksgatan, Node, 59.31379867484379, 18.0760395526886
49, kocksgatan, Node, 59.313705594456934, 18.075369000434875
50, kocksgatan, Node, 59.31364810350247, 18.074891567230225
51, kocksgatan, Node, 59.31359335012213, 18.07449460029602
52, kocksgatan, Node, 59.31357418641817, 18.074328303337097
53, kocksgatan, Node, 59.31355228502899, 18.074172735214233
54, gokoblock, Node, 59.31348658077684, 18.07372748851776
55, gotgatan, Node, 59.31324018870047, 18.073856234550476
56, gotgatan, Node, 59.31303486060623, 18.073963522911072
57, gotgatan, Node, 59.31273234162156, 18.07425320148468
58, gotgatan, Node, 59.31251058391414, 18.074360489845276
59, gotgatan, Node, 59.31181381726215, 18.074738681316376
60, gotgatan, Node, 59.31126077423538, 18.07497203350067
61, gotgatan, Node, 59.31096097735001, 18.075095415115356
62, gotgatan, Node, 59.31071182906899, 18.075205385684967
63, goblblock, Node, 59.31057356467487, 18.075318038463593
64, gotgatan, Node, 59.3101601370933, 18.075554072856903
65, gotgatan, Node, 59.31001091861914, 18.07562917470932
66, gotgatan, Node, 59.3096440300454, 18.075808882713318
67, gotgatan, Node, 59.30924291226189, 18.07601273059845
68, gotgatan, Node, 59.309062202363, 18.07610124349594
69, gotgatan, Node, 59.30892940735556, 18.07617098093033
70, goolblock, Node, 59.30862548280969, 18.076321184635162
71, gotgatan, Node, 59.308190126701206, 18.076551854610443
72, goriblock, Node, 59.307771193863424, 18.0767422914505
73, asogatan, Node, 59.31295272902135, 18.074355125427246
74, asogatan, Node, 59.31297463079672, 18.074534833431244
75, asogatan, Node, 59.31304444261154, 18.075031042099
76, asogatan, Node, 59.31308550831802, 18.0753555893898
77, asogatan, Node, 59.31313478710031, 18.075741827487946
78, asogatan, Node, 59.31319364777442, 18.076162934303284
79, asogatan, Node, 59.313253877195976, 18.076597452163696
80, asogatan, Node, 59.31328536071479, 18.07684689760208
81, osasblock, Node, 59.31332368843746, 18.077139258384705
82, asogatan, Node, 59.313368860340866, 18.07746648788452
83, asogatan, Node, 59.313415401027044, 18.077820539474487
84, asogatan, Node, 59.31345235976189, 18.078120946884155
85, asogatan, Node, 59.31349479381531, 18.078421354293823
86, asogatan, Node, 59.31354270316679, 18.0787593126297
87, asogatan, Node, 59.313579661763264, 18.079035580158234
88, asogatan, Node, 59.31359061245079, 18.079129457473755
89, asogatan, Node, 59.31362346449223, 18.079376220703125
90, asogatan, Node, 59.31367000482992, 18.07974636554718
91, asogatan, Node, 59.313739815217005, 18.0802184343338
92, soasblock, Node, 59.31372886457754, 18.080384731292725
93, asogatan, Node, 59.3137822489117, 18.080757558345795
94, asogatan, Node, 59.31383015785816, 18.081130385398865
95, nyasblock, Node, 59.313947876697036, 18.08199942111969
96, asogatan, Node, 59.313984834853066, 18.08215767145157
97, asogatan, Node, 59.31399578541011, 18.082248866558075
98, asogatan, Node, 59.31401494887642, 18.082412481307983
99, asogatan, Node, 59.314034112331946, 18.082527816295624
100, asogatan, Node, 59.31404232523816, 18.08259755373001
101, asogatan, Node, 59.314060119861466, 18.082742393016815
102, asogatan, Node, 59.31408612737109, 18.082940876483917
103, asogatan, Node, 59.314132667075526, 18.083268105983734
104, asogatan, Node, 59.31414772402507, 18.08339148759842
105, asogatan, Node, 59.3141723626554, 18.083573877811432
106, asogatan, Node, 59.314220271052186, 18.08391183614731
107, asogatan, Node, 59.31423259034327, 18.08402717113495
108, reasblock, Node, 59.3142804986552, 18.084386587142944
109, renstiernas gata, Node, 59.31379867484379, 18.084606528282166
